Region,ID,Condition,Exposed.Area
Post. Body,1,Alive,0.054
Post. Body,1,Alive,0.048
Post. Body,1,Alive,0.054
Post. Body,1,Alive,0.051
Post. Body,1,Alive,0.055
Post. Body,1,Dead,0.042
Post. Body,1,Dead,0.051
Post. Body,1,Dead,0.041
Post. Body,1,Dead,0.051
Post. Body,1,Dead,0.053
Post. Body,2,Alive,0.055
Post. Body,2,Alive,0.056
Post. Body,2,Alive,0.054
Post. Body,2,Alive,0.057
Post. Body,2,Alive,0.047
Post. Body,2,Dead,0.043
Post. Body,2,Dead,0.055
Post. Body,2,Dead,0.049
Post. Body,2,Dead,0.047
Post. Body,2,Dead,0.051
Post. Body,3,Alive,0.044
Post. Body,3,Alive,0.046
Post. Body,3,Alive,0.045
Post. Body,3,Alive,0.045
Post. Body,3,Alive,0.052
Post. Body,3,Dead,0.052
Post. Body,3,Dead,0.06
Post. Body,3,Dead,0.048
Post. Body,3,Dead,0.058
Post. Body,3,Dead,0.059
