Region,ID,Condition,Exposed.Area
dfin.lat,1,Alive,0.031
dfin.lat,1,Alive,0.031
dfin.lat,1,Alive,0.028
dfin.lat,1,Alive,0.025
dfin.lat,1,Alive,0.022
dfin.lat,1,Dead,0.033
dfin.lat,1,Dead,0.029
dfin.lat,1,Dead,0.027
dfin.lat,1,Dead,0.025
dfin.lat,1,Dead,0.024
dfin.lat,2,Alive,0.044
dfin.lat,2,Alive,0.043
dfin.lat,2,Alive,0.041
dfin.lat,2,Alive,0.037
dfin.lat,2,Alive,0.034
dfin.lat,2,Dead,0.041
dfin.lat,2,Dead,0.037
dfin.lat,2,Dead,0.035
dfin.lat,2,Dead,0.033
dfin.lat,2,Dead,0.029
dfin.lat,3,Alive,0.034
dfin.lat,3,Alive,0.028
dfin.lat,3,Alive,0.028
dfin.lat,3,Alive,0.027
dfin.lat,3,Alive,0.025
dfin.lat,3,Dead,0.028
dfin.lat,3,Dead,0.027
dfin.lat,3,Dead,0.024
dfin.lat,3,Dead,0.024
dfin.lat,3,Dead,0.022
dfin.tip,1,Alive,0.011
dfin.tip,1,Alive,0.008
dfin.tip,1,Alive,0.007
dfin.tip,1,Alive,0.005
dfin.tip,1,Alive,0.004
dfin.tip,1,Dead,0.018
dfin.tip,1,Dead,0.017
dfin.tip,1,Dead,0.016
dfin.tip,1,Dead,0.016
dfin.tip,1,Dead,0.012
dfin.tip,2,Alive,0.009
dfin.tip,2,Alive,0.007
dfin.tip,2,Alive,0.006
dfin.tip,2,Alive,0.004
dfin.tip,2,Alive,0.004
dfin.tip,2,Dead,0.033
dfin.tip,2,Dead,0.027
dfin.tip,2,Dead,0.024
dfin.tip,2,Dead,0.021
dfin.tip,2,Dead,0.021
dfin.tip,3,Alive,0.006
dfin.tip,3,Alive,0.006
dfin.tip,3,Alive,0.004
dfin.tip,3,Alive,0.004
dfin.tip,3,Alive,0.002
dfin.tip,3,Dead,0.023
dfin.tip,3,Dead,0.02
dfin.tip,3,Dead,0.019
dfin.tip,3,Dead,0.019
dfin.tip,3,Dead,0.016
lat,1,Alive,0.047
lat,1,Alive,0.045
lat,1,Alive,0.043
lat,1,Alive,0.041
lat,1,Alive,0.035
lat,1,Dead,0.047
lat,1,Dead,0.04
lat,1,Dead,0.039
lat,1,Dead,0.034
lat,1,Dead,0.033
lat,2,Alive,0.056
lat,2,Alive,0.047
lat,2,Alive,0.044
lat,2,Alive,0.043
lat,2,Alive,0.027
lat,2,Dead,0.086
lat,2,Dead,0.05
lat,2,Dead,0.043
lat,2,Dead,0.042
lat,2,Dead,0.033
lat,3,Alive,0.052
lat,3,Alive,0.047
lat,3,Alive,0.046
lat,3,Alive,0.046
lat,3,Alive,0.042
lat,3,Dead,0.052
lat,3,Dead,0.049
lat,3,Dead,0.048
lat,3,Dead,0.045
lat,3,Dead,0.044
nose,1,Alive,0.195
nose,1,Alive,0.166
nose,1,Alive,0.153
nose,1,Alive,0.138
nose,1,Alive,0.133
nose,1,Dead,0.187
nose,1,Dead,0.163
nose,1,Dead,0.16
nose,1,Dead,0.154
nose,1,Dead,0.143
nose,2,Alive,0.213
nose,2,Alive,0.184
nose,2,Alive,0.163
nose,2,Alive,0.151
