Region,ID,Condition,Sq,Ssk,Sku,Sdr,Sds
dfin.lat,1,Dead,6.039,0.474,2.551,2.26,43.98
dfin.lat,1,Alive,6.687,-0.1635,2.59,2.111,32.5
dfin.lat,1,Alive,4.766,-0.02817,2.623,1.154,40.25
dfin.lat,1,Alive,6.085,0.0925,2.631,1.805,35
dfin.lat,1,Dead,7.03,0.3714,2.688,2.908,42.87
dfin.lat,1,Dead,5.288,-0.1795,3.239,2.358,95.52
dfin.lat,2,Alive,8.524,-0.5215,2.587,3.077,44
dfin.lat,2,Alive,8.365,-0.4354,2.614,2.628,31.5
dfin.lat,2,Dead,8.022,-0.3143,2.71,4.998,82.67
dfin.lat,2,Dead,8.954,-0.05586,2.973,4.987,73.96
dfin.lat,2,Alive,8.113,-0.5177,3.011,2.839,31.75
dfin.lat,2,Dead,9.138,-0.6577,3.057,4.64,73.71
dfin.lat,3,Alive,8.433,0.0473,2.426,3.185,35.5
dfin.lat,3,Alive,7.626,-0.1768,2.545,2.515,32.25
dfin.lat,3,Alive,6.146,-0.2099,2.653,1.932,42
dfin.lat,3,Dead,5.422,0.4722,2.931,1.915,57.16
dfin.lat,3,Dead,5.897,0.2053,3.091,2.141,53.9
dfin.lat,3,Dead,6.71,-0.1348,3.17,3.351,64.93
dfin.tip,1,Dead,7.556,0.03625,2.443,3.721,42.87
dfin.tip,1,Dead,3.836,0.3168,3.225,1.637,43.98
dfin.tip,1,Dead,3.815,0.4712,4.115,1.238,95.52
dfin.tip,1,Alive,1.445,1.254,5.996,0.1387,98.76
dfin.tip,1,Alive,0.7975,1.424,6.899,0.0577,189.5
dfin.tip,1,Alive,0.8227,1.617,8.25,0.05962,221.3
dfin.tip,2,Dead,5.641,-0.3428,3.234,2.665,73.71
dfin.tip,2,Alive,2.512,0.6446,3.558,0.3898,60.01
dfin.tip,2,Dead,4.859,-0.5236,3.709,2.106,82.67
dfin.tip,2,Dead,6.725,-0.5499,3.805,3.151,73.96
dfin.tip,2,Alive,1.475,1.07,4.689,0.1313,94.01
dfin.tip,2,Alive,1.531,1.15,6.782,0.1357,101.5
dfin.tip,3,Dead,3.47,-0.1501,3.18,1.2,57.16
dfin.tip,3,Dead,4.875,-0.2012,3.529,1.814,53.9
dfin.tip,3,Dead,4.134,0.2663,4.614,1.138,64.93
dfin.tip,3,Alive,0.8864,0.9025,5.184,0.04107,239.8
dfin.tip,3,Alive,0.4121,1.247,7.114,0.01756,415
dfin.tip,3,Alive,0.3851,1.422,7.78,0.01238,474.8
lat,1,Dead,9.048,-0.4001,2.755,5.391,73.46
lat,1,Dead,9.925,-0.2286,2.863,5.906,63.15
lat,1,Dead,9.49,-0.1764,2.941,4.867,55.91
lat,1,Alive,9.148,-0.64,2.982,3.977,61.26
lat,1,Alive,8.89,-0.5133,3.071,3.825,55.76
lat,1,Alive,10.17,-0.488,3.591,4.174,43.5
lat,2,Alive,10.17,0.068,1.955,3.707,45.5
lat,2,Alive,10.48,-0.1189,2.079,3.825,30.75
lat,2,Alive,12.38,-0.2213,2.199,4.799,30.5
